food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
tostada with beef cheese,315,16.3,22.8,0,19,0,40.8,2.9
tostada with beans cheese,223,9.9,26.5,0,9.6,0,30.2,1.9
pork tamale,247,12.8,22.4,0.7,10.4,3.4,28.4,1.2
nachos with cheese,274,17.2,27.9,1.7,3.5,2.6,2.4,0.029
pulled pork in barbecue sauce,418,11,46.7,37.8,32.8,3,87.2,3.1
baked potato with cheese sauce,474,28.7,46.5,0,14.6,0,17.8,3
baked beans,310,10.3,43.3,0,11.1,11,10,0.3
arroz con frijoles,220,5.6,35.6,1.3,6.8,5,0,2.3
taco with beef cheese lettuce,156,8.8,13.7,0.6,6.1,2.7,19.3,0.8
burrito with beans cheese beef,165,6.6,19.8,0,7.3,0,61.9,1.9
egg mix,30,2.2,0.098,0.091,2.4,0,81.5,0.055
falafel,57,3,5.4,0,2.3,0,0,0.002
taco salad with chili con carne,193,8.8,17.7,0,11.6,0,3.5,1.8
wonton wrappers,93,0.5,18.5,0,3.1,0.6,2.9,1.1
hushpuppies,512,20.5,69.9,3.1,11.7,4.3,68.4,4.6
chicken pot pie,598,34.6,57.3,7.2,14.6,3,51.3,1.8
general tsos chicken,1578,87.5,128.3,62.1,69,4.8,283.6,6.2
burrito with beans cheese,379,11.2,57.8,3.2,13.6,7.8,9.3,4.4
vegetarian fillets,247,15.3,7.7,0.7,19.6,5.2,0,1.7
biscuit with egg sausage,505,33.6,34.1,1.5,18,0.3,260.8,3.1
chicken chow mein,513,16.9,50.1,10.5,40.8,6,96.6,4
fruit burrito,231,9.5,35,0,2.5,0,3.7,1.1
arroz con leche,369,9.3,63,38.6,8.1,1.3,20.2,0.6
caramel custard flan,444,12.3,69.7,70.8,13.9,0,275.4,1.2
gelatin dessert,167,0,38.3,36.4,3.3,0,0,0.094
chocolate milk dessert,229,1.4,51.6,51.6,5.9,0,0,0.02
